1223
ME	2006	3	12
ME	2006	4	12
ME	2006	5	11
ME	2006	6	15
ME	2006	7	16
NC	1991	0	1
NC	1991	1	1
NC	1991	2	2
NC	1991	3	4
NC	1991	4	2
NC	1991	5	3
NC	1991	6	4
NC	1991	7	1
NC	1992	2	3
NC	1992	3	3
NC	1992	4	2
NC	1992	5	1
NC	1992	6	1
NC	1992	7	3
NC	1993	0	1
NC	1993	2	2
NC	1993	3	3
NC	1993	4	3
NC	1993	5	1
NC	1993	6	2
NC	1994	1	1
NC	1994	3	3
NC	1994	4	3
NC	1994	5	3
NC	1994	6	2
NC	1994	7	1
NC	1995	2	4
NC	1995	3	4
NC	1995	4	2
NC	1995	5	3
NC	1995	6	1
NC	1996	2	1
NC	1996	3	2
NC	1996	4	1
NC	1996	5	2
NC	1996	6	3
NC	1996	7	1
NC	1997	2	3
NC	1997	3	4
NC	1997	4	4
NC	1997	5	3
NC	1997	6	2
NC	1997	7	3
NC	1998	1	1
NC	1998	2	1
NC	1998	3	5
NC	1998	4	3
NC	1998	5	4
NC	1998	6	1
NC	1998	7	2
NC	1999	1	2
NC	1999	3	3
NC	1999	4	3
NC	1999	5	2
NC	1999	6	4
NC	1999	7	2
NC	2000	1	4
NC	2000	2	5
NC	2000	3	3
NC	2000	4	3
NC	2000	5	8
NC	2000	6	3
NC	2000	7	7
NC	2001	1	1
NC	2001	2	4
NC	2001	3	2
NC	2001	4	3
NC	2001	5	9
NC	2001	6	1
NC	2001	7	2
NC	2002	3	1
NC	2002	4	6
NC	2002	5	12
NC	2002	6	3
NC	2002	7	3
NC	2003	0	2
NC	2003	1	4
NC	2003	2	7
NC	2003	3	12
NC	2003	4	16
NC	2003	5	20
NC	2003	6	7
NC	2003	7	2
NC	2004	0	4
NC	2004	1	1
NC	2004	2	4
NC	2004	3	14
NC	2004	4	37
NC	2004	5	30
NC	2004	6	32
NC	2004	7	33
NC	2005	0	5
NC	2005	1	4
NC	2005	2	6
